day,Actual.Stop.Station,Segment.Direction,Service.Line,Leading.Set.Type,Node.Seq.Order,Actual.Station.Dprt.Time.Band,Occupancy Status,is_weekend,is_peak
13,54,1,26,9,27,75,0,0,1
12,301,1,6,5,3,22,0,0,0
12,301,1,6,4,3,50,0,0,0
15,259,1,11,3,7,92,0,1,0
16,32,1,10,8,1,35,0,0,1
12,209,0,13,8,5,63,0,0,0
13,144,0,22,7,2,27,0,0,0
10,302,1,17,9,6,33,0,0,1
10,248,0,9,4,3,72,1,0,1
14,55,1,21,0,15,85,0,1,0
11,238,0,26,9,12,70,0,0,1
13,49,1,13,8,3,43,0,0,0
12,161,0,10,8,3,68,0,0,1
10,181,1,26,0,5,72,0,0,1
16,48,1,17,9,3,50,0,0,0
11,19,0,2,0,11,57,0,0,0
12,271,1,21,0,3,77,0,0,0
12,83,0,26,0,18,40,0,0,0
12,54,0,16,0,1,68,0,0,1
11,28,1,26,8,9,78,0,0,0
13,54,1,10,8,6,87,0,0,0
14,218,1,26,0,5,68,0,1,1
15,284,1,26,0,3,19,0,1,0
16,297,0,13,8,18,83,0,0,0
11,108,1,26,0,12,84,0,0,0
11,31,1,13,2,2,71,0,0,1
16,286,1,26,0,10,35,1,0,1
10,277,1,21,8,4,75,0,0,1
13,261,1,10,8,5,79,0,0,0
11,54,1,6,0,7,60,0,0,0
12,240,1,19,0,13,54,0,0,0
16,107,0,11,6,1,58,0,0,0
12,276,0,17,9,11,91,0,0,0
13,171,1,21,8,17,69,1,0,1
13,54,0,6,0,1,42,0,0,0
14,41,0,26,0,3,47,0,1,0
12,260,0,26,8,14,74,0,0,1
14,139,0,2,0,20,61,0,1,0
11,242,1,2,0,22,94,0,0,0
10,131,0,26,8,22,83,0,0,0
13,218,1,13,8,23,29,1,0,1
13,106,0,13,8,10,75,0,0,1
12,32,1,10,8,1,45,0,0,0
13,1,1,17,9,3,19,0,0,0
12,291,0,13,8,3,73,0,0,1
12,89,0,17,9,4,64,0,0,1
13,246,0,15,0,8,62,0,0,0
11,291,1,13,8,18,43,0,0,0
11,224,1,1,0,3,50,0,0,0
16,286,0,7,4,6,73,0,0,1
16,4,0,13,8,6,74,0,0,1
11,218,1,2,0,16,54,0,0,0
12,257,0,13,2,18,24,0,0,0
15,245,1,24,0,20,68,0,1,1
16,28,1,26,0,1,32,0,0,1
14,5,1,21,0,12,78,0,1,0
16,54,0,21,8,1,41,0,0,0
11,98,0,24,5,3,25,0,0,0
14,210,0,15,0,6,63,0,1,0
13,91,0,7,4,15,69,0,0,1
16,44,0,1,8,18,25,0,0,0
13,98,1,1,0,7,87,0,0,0
13,291,1,13,8,11,70,0,0,1
14,261,1,19,0,17,77,0,1,0
11,124,0,13,8,9,59,0,0,0
13,292,0,13,2,9,35,0,0,1
13,49,1,13,8,3,46,0,0,0
13,171,1,21,0,17,42,0,0,0
14,96,1,25,6,3,83,0,1,0
15,247,1,13,8,7,69,0,1,1
16,60,0,26,2,7,58,0,0,0
14,16,0,18,0,14,94,0,1,0
11,149,1,2,1,1,21,0,0,0
14,42,1,24,5,10,22,0,1,0
15,279,0,24,0,15,43,0,1,0
12,47,0,2,4,9,63,0,0,0
11,28,0,26,9,4,95,0,0,0
12,98,0,1,4,8,54,0,0,0
11,255,1,13,8,9,75,0,0,1
11,93,1,17,9,4,75,0,0,1
16,61,1,13,2,19,66,0,0,1
10,55,1,21,0,12,68,0,0,1
13,245,1,18,0,9,42,0,0,0
14,70,1,13,8,1,52,0,1,0
10,262,0,13,2,15,84,0,0,0
13,155,1,1,0,6,76,0,0,0
16,99,1,21,0,11,41,0,0,0
14,12,1,2,0,3,65,0,1,1
13,220,0,1,0,15,69,0,0,1
10,286,0,26,0,6,41,0,0,0
15,99,0,21,0,14,6,0,1,0
10,218,1,13,8,13,26,0,0,0
13,86,1,24,0,2,72,0,0,1
10,247,0,13,2,8,76,0,0,0
12,247,0,13,8,15,53,0,0,0
11,26,1,2,0,1,24,0,0,0
14,295,0,17,2,9,71,0,1,1
14,97,0,26,9,4,44,0,1,0
15,178,1,13,8,11,39,0,1,1
10,193,1,18,0,8,39,0,0,1
11,278,1,26,9,12,56,0,0,0
15,78,0,2,0,7,47,0,1,0
12,54,0,21,0,1,54,0,0,0
13,110,0,26,9,17,23,0,0,0
13,98,1,1,0,5,54,0,0,0
10,220,1,1,0,11,20,0,0,0
13,122,0,1,0,5,89,0,0,0
10,91,0,24,0,12,67,0,0,1
16,122,1,1,0,11,73,0,0,1
11,111,0,13,2,8,71,0,0,1
11,26,0,2,5,17,70,0,0,1
13,73,1,18,8,3,40,0,0,0
13,181,1,26,0,5,34,0,0,1
13,239,0,6,0,3,62,0,0,0
12,264,0,21,0,16,63,0,0,0
11,238,1,26,9,15,22,0,0,0
13,19,0,2,5,11,85,0,0,0
15,78,1,2,0,19,29,0,1,1
12,95,0,24,0,5,29,0,0,1
10,3,0,13,8,11,63,0,0,0
14,225,1,13,8,15,55,0,1,0
12,99,0,21,0,14,33,0,0,1
16,48,1,17,9,3,46,0,0,0
12,54,1,6,0,1,28,0,0,1
12,58,0,6,5,4,32,0,0,1
12,218,1,13,2,18,29,1,0,1
10,291,1,1,0,10,80,0,0,0
11,259,0,11,3,6,66,0,0,1
13,220,0,1,0,9,62,0,0,0
10,164,1,1,0,10,56,0,0,0
14,185,0,6,0,2,30,0,1,1
11,254,1,3,4,2,25,0,0,0
13,248,1,2,5,13,71,0,0,1
10,143,0,15,0,7,65,0,0,1
12,240,0,21,4,8,30,0,0,1
11,221,0,18,0,7,73,2,0,1
11,292,0,25,2,1,22,0,0,0
12,261,0,6,1,6,59,0,0,0
13,195,1,14,2,8,19,0,0,0
14,245,0,15,0,12,84,0,1,0
12,122,0,1,0,5,55,0,0,0
13,253,0,11,6,10,32,0,0,1
11,133,0,13,8,6,59,0,0,0
16,28,0,26,0,9,84,0,0,0
10,216,0,21,0,15,56,0,0,0
16,59,1,26,0,3,16,0,0,0
16,121,1,1,0,5,64,0,0,1
12,242,1,2,4,14,69,0,0,1
11,262,0,13,2,15,60,0,0,0
10,291,0,13,2,3,70,2,0,1
13,265,0,1,0,7,89,0,0,0
10,218,1,15,0,12,47,0,0,0
16,203,0,26,8,6,84,0,0,0
13,46,1,7,4,11,32,0,0,1
12,54,1,6,1,7,67,0,0,1
15,291,1,1,5,10,41,0,1,0
12,26,0,2,4,3,22,0,0,0
13,303,1,2,0,2,81,0,0,0
16,191,1,19,0,2,45,0,0,0
11,240,1,21,8,13,71,0,0,1
14,294,0,13,2,12,47,0,1,0
11,224,1,1,0,3,25,0,0,0
13,146,0,21,0,12,35,0,0,1
16,218,1,15,4,1,19,0,0,0
11,129,1,10,8,3,44,0,0,0
10,42,1,7,4,10,62,0,0,0
15,245,1,15,0,2,81,0,1,0
11,125,0,26,9,21,75,0,0,1
13,145,1,26,9,13,22,0,0,0
13,192,0,19,0,11,70,1,0,1
11,129,0,10,8,4,66,0,0,1
15,58,0,6,0,4,94,0,1,0
15,284,1,26,0,3,84,0,1,0
14,54,0,6,0,1,79,0,1,0
13,287,1,2,5,13,57,0,0,0
13,251,1,11,3,9,91,0,0,0
10,98,0,7,4,21,67,0,0,1
10,209,0,13,8,5,77,0,0,0
10,4,0,13,8,6,61,1,0,0
15,157,0,19,0,4,57,0,1,0
16,242,0,2,0,4,24,0,0,0
12,43,0,3,4,3,23,0,0,0
13,241,0,26,0,12,56,0,0,0
12,89,0,17,2,4,76,0,0,0
14,40,0,24,6,12,8,0,1,0
16,217,1,26,0,9,87,0,0,0
16,46,0,24,0,13,35,0,0,1
12,54,0,19,0,1,33,2,0,1
16,137,1,26,9,15,73,0,0,1
11,31,1,13,2,2,11,0,0,0
12,21,1,11,6,6,21,0,0,0
11,301,0,6,0,5,24,0,0,0
13,185,1,6,7,6,79,0,0,0
14,185,1,6,0,6,68,0,1,1
11,257,1,13,2,12,27,0,0,0
11,120,0,13,8,4,63,0,0,0
10,146,1,21,4,9,64,0,0,1
13,216,1,21,0,6,48,0,0,0
13,284,0,26,8,21,31,0,0,1
11,82,0,11,3,12,70,0,0,1
12,98,0,24,0,3,83,0,0,0
14,292,0,13,2,18,48,0,1,0
13,258,0,19,0,18,62,0,0,0
16,44,1,1,0,2,62,0,0,0
12,16,1,19,0,5,43,0,0,0
13,293,0,21,8,7,72,1,0,1
11,54,0,26,0,1,43,0,0,0
13,105,1,24,0,11,43,0,0,0
13,232,1,26,8,1,30,0,0,1
10,281,0,21,0,6,32,0,0,1
16,189,0,15,0,4,41,0,0,0
13,64,0,13,8,5,20,0,0,0
12,130,0,1,5,10,33,0,0,1
12,210,1,15,0,8,71,0,0,1
16,207,0,26,0,23,47,0,0,0
14,156,1,19,0,9,57,0,1,0
10,164,0,1,0,3,32,0,0,1
11,245,0,17,9,2,92,0,0,0
12,218,0,26,8,2,83,0,0,0
10,136,1,2,7,14,28,0,0,1
10,98,0,1,0,10,75,0,0,1
11,294,1,13,2,21,15,0,0,0
16,89,0,17,2,4,85,0,0,0
11,191,1,19,0,2,63,0,0,0
16,193,0,18,8,5,28,0,0,1
15,106,0,13,8,11,44,0,1,0
10,185,0,6,5,2,57,0,0,0
13,284,1,26,0,3,90,0,0,0
10,107,0,17,2,21,84,0,0,0
13,278,1,26,9,17,18,0,0,0
15,100,1,17,2,7,40,0,1,0
9,255,1,13,8,21,1,0,0,0
12,268,0,20,6,8,63,0,0,0
14,266,1,13,2,8,26,0,1,0
13,144,0,26,0,5,30,0,0,1
10,108,1,7,1,16,41,0,0,0
12,175,1,13,8,4,63,0,0,0
12,120,0,13,8,7,56,0,0,0
15,265,1,1,0,9,43,0,1,0
11,199,0,13,8,3,42,0,0,0
9,118,0,17,2,5,5,0,0,0
11,12,1,2,5,10,35,0,0,1
10,283,1,26,8,5,25,0,0,0
15,157,1,19,0,8,73,0,1,1
10,131,0,26,8,14,54,0,0,0
12,88,0,13,8,16,28,0,0,1
12,8,0,24,0,7,63,0,0,0
15,121,0,1,5,16,69,0,1,1
14,194,0,21,0,5,37,0,1,1
15,85,1,10,8,2,3,0,1,0
10,6,1,15,0,5,67,0,0,1
14,124,1,13,8,8,44,0,1,0
10,86,1,24,5,2,27,0,0,0
15,125,0,26,9,17,12,0,1,0
10,194,1,21,0,17,75,0,0,1
15,299,0,17,9,12,4,0,1,0
15,38,1,14,2,2,64,0,1,1
16,60,1,26,0,14,29,0,0,1
15,228,0,21,0,11,33,0,1,1
15,53,1,24,0,4,2,0,1,0
13,33,1,17,2,8,31,0,0,1
14,19,1,2,0,7,56,0,1,0
12,98,0,1,0,13,21,0,0,0
16,84,0,18,0,11,44,0,0,0
10,170,1,11,6,6,47,0,0,0
12,184,0,26,0,20,6,0,0,0
16,105,1,24,5,15,89,0,0,0
11,147,0,17,2,19,9,0,0,0
16,187,1,17,2,6,19,0,0,0
13,130,0,1,0,7,47,0,0,0
10,231,1,13,2,22,15,0,0,0
10,297,0,13,8,15,67,0,0,1
10,6,0,15,4,6,33,0,0,1
13,274,0,11,3,4,63,0,0,0
14,144,0,2,0,1,80,0,1,0
16,205,1,26,0,4,70,0,0,1
14,191,0,19,0,17,58,0,1,0
11,54,1,6,5,1,72,0,0,1
10,8,0,26,2,6,56,0,0,0
16,66,0,13,2,10,43,0,0,0
12,277,0,21,0,13,25,0,0,0
10,228,1,21,0,10,51,0,0,0
10,190,1,17,2,19,27,0,0,0
13,5,0,19,0,9,81,0,0,0
15,112,0,13,2,7,89,0,1,0
13,200,0,17,2,18,95,0,0,0
11,218,1,24,1,11,32,1,0,1
15,258,0,19,0,9,60,0,1,0
15,165,0,18,0,8,63,0,1,0
11,192,0,19,8,11,37,0,0,1
15,304,0,24,0,11,48,0,1,0
11,291,0,1,0,6,74,0,0,1
13,54,1,10,8,6,32,0,0,1
10,236,0,13,2,15,93,0,0,0
16,46,0,24,4,13,44,0,0,0
13,100,0,17,9,8,78,0,0,0
11,144,0,24,0,6,84,0,0,0
13,151,0,13,8,16,45,0,0,0
14,291,0,1,0,6,83,0,1,0
16,218,1,13,2,21,30,1,0,1
10,28,0,26,0,11,91,0,0,0
16,149,1,24,1,5,63,0,0,0
13,209,0,13,8,10,51,0,0,0
9,246,0,15,0,8,2,0,0,0
11,169,0,24,0,9,57,0,0,0
10,6,1,15,5,5,18,0,0,0
11,26,1,2,5,9,72,0,0,1
11,291,0,1,0,6,44,0,0,0
15,4,1,13,8,17,83,0,1,0
14,54,1,10,2,6,81,0,1,0
14,141,1,2,0,2,19,0,1,0
13,247,1,13,8,7,54,0,0,0
13,248,1,13,8,22,29,1,0,1
10,51,1,13,8,3,75,0,0,1
10,26,0,2,0,17,21,0,0,0
10,149,0,2,4,25,83,0,0,0
14,133,1,13,8,12,19,0,1,0
15,161,1,10,8,4,59,0,1,0
16,4,1,13,8,14,86,0,0,0
12,225,1,13,8,12,52,0,0,0
14,218,1,24,0,19,44,0,1,0
11,5,0,19,0,9,49,0,0,0
16,90,1,2,0,15,31,1,0,1
11,11,0,13,8,7,61,0,0,0
13,122,0,1,0,5,93,0,0,0
15,189,0,15,0,4,51,0,1,0
15,152,1,23,2,4,95,0,1,0
12,296,0,26,9,15,81,0,0,0
16,281,0,21,0,6,54,0,0,0
13,119,1,2,5,18,56,0,0,0
15,131,0,26,0,3,47,0,1,0
14,224,0,1,0,13,24,0,1,0
15,161,0,10,2,3,45,0,1,0
11,241,0,26,0,15,92,0,0,0
16,28,1,26,0,11,32,1,0,1
11,54,1,6,5,7,44,0,0,0
16,215,1,2,0,4,38,0,0,1
12,95,1,24,5,16,46,0,0,0
16,8,0,26,8,6,73,1,0,1
15,156,0,19,0,10,74,0,1,1
16,175,1,13,8,4,65,0,0,1
11,185,1,6,0,6,85,0,0,0
13,264,1,21,0,5,30,0,0,1
16,247,1,13,8,5,48,0,0,0
13,173,0,13,2,16,70,0,0,1
13,227,1,3,1,6,75,0,0,1
10,301,0,21,8,3,25,0,0,0
16,175,0,13,8,13,41,0,0,0
12,109,0,17,2,8,43,0,0,0
11,116,1,9,4,7,31,0,0,1
12,53,0,7,4,20,71,0,0,1
11,55,1,21,0,12,76,0,0,0
10,218,1,9,1,12,35,1,0,1
15,261,1,6,0,2,43,1,1,0
11,98,0,24,0,18,85,0,0,0
11,123,0,11,3,2,50,0,0,0
16,129,1,10,8,3,30,0,0,1
10,274,1,11,3,13,83,0,0,0
12,91,0,24,5,12,1,0,0,0
11,207,0,26,0,15,58,0,0,0
12,19,1,2,5,15,41,0,0,0
14,197,0,13,8,10,62,0,1,0
12,171,1,19,8,17,82,0,0,0
16,213,1,13,8,1,43,0,0,0
15,41,1,26,0,4,58,0,1,0
13,245,1,26,0,16,46,0,0,0
14,175,1,13,8,4,47,0,1,0
10,88,0,13,8,17,27,0,0,0
15,296,1,26,9,13,36,0,1,1
